full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
  1155 Aenna (1928 BD),MBA,N,N,12.01,9.284,0.356,8.07,,,0.1664,2.463,2.053,6.59,39.05,196.22,34.74,0.255,1410.0,1.04,0,8115
  1156 Kira (1928 DA),MBA,N,N,12.41,6.831,0.181,2.971,,,0.0466,2.237,2.133,1.4,91.13,353.81,130.3,0.2946,1220.0,1.15,0,10539
  1157 Arabia (1929 QC),MBA,N,N,10.04,29.113,0.247,11.55,,,0.1432,3.185,2.729,9.55,336.07,312.01,358.17,0.1734,2080.0,1.72,0,8911
  1158 Luda (1929 QF),MBA,N,N,10.92,18.636,0.221,6.863,,,0.1138,2.563,2.272,14.83,344.51,57.14,103.32,0.2402,1500.0,1.31,0,8153
  1159 Granada (1929 RD),MBA,N,N,11.66,28.641,0.038,77.28,,,0.0579,2.38,2.242,13.03,347.83,312.53,121.52,0.2685,1340.0,1.24,0,6604
  1160 Illyria (1929 RL),MBA,N,N,11.47,13.977,0.249,4.1025,,,0.1187,2.56,2.256,14.94,3.63,5.25,167.34,0.2407,1500.0,1.25,0,5587
  1161 Thessalia (1929 SF),MBA,N,N,11.38,21.498,0.065,,,,0.0886,3.168,2.887,9.4,72.53,311.22,14.93,0.1748,2060.0,1.9,0,9590
  1162 Larissa (1930 AC),OMB,N,N,9.58,40.379,0.169,6.516,,,0.1058,3.931,3.515,1.87,39.67,205.92,338.51,0.1264,2850.0,2.5,0,6929
  1163 Saga (1930 BA),OMB,N,N,10.88,32.429,0.147,9.365,,,0.0413,3.218,3.085,9.02,127.49,201.29,25.63,0.1707,2110.0,2.07,0,11777
  1164 Kobolda (1930 FB),MBA,N,N,12.8,7.651,0.229,4.141,,,0.195,2.307,1.857,25.17,156.86,341.13,140.16,0.2813,1280.0,0.877,0,5183
  1165 Imprinetta (1930 HM),MBA,N,N,10.71,53.187,0.048,10.797,,,0.2101,3.129,2.471,12.8,203.7,96.58,36.91,0.1781,2020.0,1.5,0,6389
  1166 Sakuntala (1930 MA),MBA,N,N,10.6,26.011,0.286,6.2918,,,0.2092,2.537,2.006,18.95,106.61,190.51,188.91,0.2439,1480.0,0.991,0,15270
  1167 Dubiago (1930 PB),OMB,N,N,9.82,63.12,0.0509,34.818,,,0.0672,3.414,3.184,5.75,223.33,72.58,61.42,0.1563,2300.0,2.17,0,7738
  1168 Brandia (1930 QA),MBA,N,N,12.5,10.11,0.15,11.444,,,0.2184,2.553,1.996,12.72,218.52,123.17,125.44,0.2416,1490.0,1.02,0,5569
  1169 Alwine (1930 QH),MBA,N,N,12.81,8.1,0.17,2.9272,,,0.1543,2.319,1.961,4.05,254.97,177.2,273.71,0.2792,1290.0,0.975,0,5325
