id,name,nasaJplUrl,absoluteMagnitude,estimatedDiameterMinKm,estimatedDiameterMaxKm,isPotentiallyHazardous,isSentryObject,closeApproachDate,closeApproachVelocityKmh,missDistanceKm,orbitingBody
2190491,190491 (2000 FJ10),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2190491,21.06,0.163137941,0.3647875257,False,False,1903-03-18,25288.7330488005,67477654.750997467,Earth
2192559,192559 (1998 VO),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2192559,20.43,0.2180494405,0.4875733714,True,False,1900-01-22,27260.7394125484,57556853.379620249,Earth
2192563,192563 (1998 WZ6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2192563,17.33,0.9089813582,2.0325441072,True,False,1928-10-31,57124.5206703775,12517686.74384016,Mars
2194386,194386 (2001 VG5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2194386,16.95,1.0828167784,2.4212519237,False,False,1918-09-08,71150.8211316598,14398337.51721354,Mars
2199003,199003 (2005 WJ56),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2199003,18.16,0.620233153,1.3868834919,True,False,1901-01-09,44353.147637088,5552452.686671193,Earth
2199801,199801 (2007 AE12),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2199801,19.36,0.3569069267,0.7980681497,True,False,1901-05-21,81638.6565183826,34459327.8102106,Earth
2203015,203015 (1999 YF3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2203015,18.64,0.4972273129,1.1118340719,False,False,1913-01-18,49072.2374260512,50092300.58767663,Earth
2203471,203471 (2002 AU4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2203471,19.45,0.3424167308,0.7656670868,False,False,1902-12-30,40655.4526337116,23326463.327994777,Earth
2205378,205378 (2001 BJ16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2205378,18.84,0.453476699,1.0140047252,False,False,1917-08-10,35511.8640686248,26043933.15563567,Earth
2205744,205744 (2002 BK25),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2205744,18.27,0.5895966084,1.3183780956,False,False,1906-05-12,21343.271055511,205896877.60592301,Juptr
2206910,206910 (2004 NL8),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2206910,17.28,0.930154254,2.0798881414,True,False,1900-09-17,48735.9679213883,12270361.192983556,Venus
2207945,207945 (1991 JW),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2207945,19.61,0.3180936332,0.7112789871,True,False,1901-05-14,17784.5580943138,17114896.937096974,Earth
2207970,207970 (1996 BZ3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2207970,18.15,0.6230960191,1.3932850552,False,False,1925-01-21,10198.4015420028,187591150.058475466,Juptr
2208023,208023 (1999 AQ10),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2208023,20.53,0.208235599,0.4656289548,True,False,1901-10-13,27954.0158315874,13999023.612153058,Earth
2209215,209215 (2003 WP25),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2209215,24.3,0.0366906138,0.0820427065,False,False,1938-10-23,68281.3892440145,73382917.199263072,Earth
