full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
 27346 (2000 DN8),AMO,Y,N,15.88,1.802,0.256,0.068,,,0.399,1.875,1.127,36.95,135.18,269.29,88.67,0.3839,938.0,0.443,0.0,1507
 29075 (1950 DA),APO,Y,Y,17.28,1.3,0.07,2.1216,,,0.5075,1.699,0.837,12.15,356.54,224.83,41.32,0.4452,809.0,0.0398,0.0,1177
 33342 (1998 WT24),ATE,Y,Y,18.02,0.432,0.654,3.697,,,0.4177,0.7187,0.419,7.37,81.66,167.52,314.57,1.618,223.0,0.0105,0.0,1983
 35107 (1991 VH),APO,Y,Y,16.85,0.929,0.408,2.6236,,,0.1437,1.137,0.973,13.92,139.31,207.03,65.64,0.8134,443.0,0.0271,0.0,6211
 35396 (1997 XF11),APO,Y,Y,17.01,0.704,0.772,3.259,,,0.4838,1.442,0.745,4.1,213.63,103.07,139.72,0.569,633.0,0.000331,0.0,2670
 36183 (1999 TX16),AMO,Y,N,16.3,2.339,0.089,5.613,,,0.3323,1.551,1.036,38.22,54.64,311.21,212.53,0.5101,706.0,0.135,0.0,1863
 38086 Beowulf (1999 JB),APO,Y,N,17.35,0.643,0.469,2.4104,,,0.5662,1.42,0.616,23.67,165.31,178.96,189.78,0.5824,618.0,0.385,0.0,1237
 38091 (1999 JT3),AMO,Y,N,16.31,2.517,0.092,,,,0.4011,2.17,1.299,9.33,64.82,225.02,69.97,0.3084,1170.0,0.306,0.0,1344
 39572 (1993 DQ1),AMO,Y,Y,16.56,1.554,0.184,,,,0.4928,2.036,1.033,10.03,313.5,344.84,341.52,0.3392,1060.0,0.0263,0.0,895
 39796 (1997 TD),AMO,Y,N,15.68,2.131,0.205,223.5,,,0.4683,2.251,1.197,12.93,158.86,171.09,126.83,0.2918,1230.0,0.188,0.0,2317
 40263 (1999 FQ5),AMO,Y,N,17.75,0.954,0.177,28.0,,,0.161,1.495,1.254,25.84,172.8,198.72,7.53,0.5393,668.0,0.257,0.0,1120
 40267 (1999 GJ4),APO,Y,N,15.54,1.641,0.214,4.9567,,,0.8084,1.339,0.257,34.48,148.2,211.95,291.0,0.6363,566.0,0.156,0.0,3897
 41429 (2000 GE2),APO,Y,Y,20.66,0.204,0.267,,,,0.5556,1.593,0.708,2.17,351.79,297.37,238.87,0.4903,734.0,0.0111,0.0,444
 48603 (1995 BC2),AMO,Y,N,17.82,0.844,0.227,,,,0.4297,1.918,1.094,5.02,328.21,81.84,251.28,0.371,970.0,0.137,0.0,562
